ï»¿Institution,Team Number,City,State/Province,Country,Advisor,Problem,Ranking
University,33392,Beijing,,China,Guoxing Fang,A,Successful Participant
Sichuan Agriculture University,33393,Chengdu,Sichuan,China,Chunhong Li,D,Successful Participant
Zhejiang University,33394,hangzhou,zhejiang,China,Guofen Zhang,C,Honorable Mention
Zhejiang University,33395,hangzhou,zhejiang,China,Guofen Zhang,B,Successful Participant
Anhui University Of Science & Technology,33396,Huainan,Anhui,China,Feng Xu,B,Successful Participant
Hainan University,33397,Haikou,Hainan,China,Chuang Li,A,Successful Participant
University of Science and Technology of China,33398,Hefei,Anhui,China,Chun Zhou,A,Successful Participant
Zhejiang University,33399,Hangzhou,Zhejiang,China,Jianquan Wang,A,Successful Participant
East China Normal University,33400,Shanghai,,China,Ping Bi,A,Successful Participant
Hefei No.8 high school,33401,Hefei,Anhui,China,Mengping Tao,A,Successful Participant
University of International Business and Economics,33402,Beijing,Beijing,China,Limei Wang,A,Successful Participant
Shanghai University of Finance and Economics,33403,Shanghai,Shanghai,China,Yan Hua Wang,A,Successful Participant
Sun Yat-sen University,33404,Guangzhou,,China,Xiaodong Li,A,Successful Participant
SYSU,33406,Guangzhou,Guangzhou,China,Xiaodong Li,A,Successful Participant
university of International Business and Economics,33407,Beijing,Beijing,China,xiaoyan zhang,A,Successful Participant
University of International Business and Economics,33408,Beijing,,China,Yue Wang,A,Successful Participant
Shanghai Jiao Tong University,33409,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
University of International Business and Economics,33410,Beijing,Beijing,China,Yan Li,A,Successful Participant
University of International Business and Economics,33411,Beijing,,China,Fang Guoxing,A,Successful Participant
Nankai University,33412,Tianjin,Tianjin,China,Liuling Li,B,Meritorious
Nankai University,33413,Tianjin,Tianjin,China,Na Zhao,A,Successful Participant
East China Normal University,33414,Shanghai,Shanghai,China,Zhonghao Xu,A,Successful Participant
Tongji University,33415,Shanghai,,China,Lingjun Zhou,B,Honorable Mention
The University Of International Business Economics,33417,Beijing,Beijing,China,Jun Yang,A,Successful Participant
Xiamen University,33418,Xiamen,Fujian,China,Yunfeng Wu,A,Honorable Mention
the University of International Business and Economics,33419,Beijing,Beijing,China,Xu Jing,A,Successful Participant
China University of Geosciences (Wuhan),33421,Wuhan,Hubei,China,Gang Huang,A,Successful Participant
Qinghai University,33422,Xining,Qinghai,China,Yanzhong Zhao,A,Successful Participant
China University of Geosciences (Wuhan),33423,Wuhan,Hubei,China,Dongjin Xiang,B,Honorable Mention
Minzu University of China,33424,Beijing,,China,Jing Wang,A,Successful Participant
BeiJing University Of Post And Telecommunication,33425,Beijing,,China,Zuguo He,D,Honorable Mention
Zhongnan University of Economics and Law,33426,Wuhan,Hubei,China,Shulan Hu,A,Successful Participant
Fudan University,33427,Shanghai,,China,Zhijie Cai,C,Successful Participant
Nanjing University of Information Science & Technology,33428,Nanjing,Jiangsu,China,Wenlong Fei,C,Honorable Mention
Nanjing University of Information Science & Technology,33429,Nanjing,Jiangsu,China,Hong Lu,A,Honorable Mention
Nanjing University of Information Science & Technology,33430,Nanjing,Jiangsu,China,Wenlong Fei,B,Successful Participant
Nanjing University of Information Science & Technology,33431,Nanjing,Jiangsu,China,Hong Lu,D,Honorable Mention
Nanjing University of Information Science & Technology,33432,Nanjing,Jiangsu,China,Wenlong Fei,A,Honorable Mention
Nanjing University of Information Science & Technology,33433,Nanjing,Jiangsu,China,Guosheng Cheng,C,Honorable Mention
Nanjing University of Information Science & Technology,33434,Nanjing,Jiangsu,China,Guosheng Cheng,D,Honorable Mention
University of international business and economics,33435,Beijing,,China,Suming Hao,A,Honorable Mention
Beijing Normal University,33436,Beijing,,China,Wenyi Zeng,B,Successful Participant
Xi'an University of Architecture and Technology,33437,Xi' an,Shaanxi,China,Ping LU,D,Successful Participant
Donghua University,33438,Shanghai,,China,Daqin Wang,B,Successful Participant
Northwestern Polytechnical University,33440,Xi'an,Shaanxi,China,Xiao Huayong,C,Honorable Mention
Zhengzhou University,33441,Zhengzhou,Henan Province,China,Qingan Cui,D,Meritorious
Nankai University,33442,Tianjin,Tianjin,China,Zixuan Zhu,A,Successful Participant
Tongji University,33443,Shanghai,,China,QI KANG,A,Successful Participant
University of International Business and Economics,33444,Beijing,Beijing,China,Jing Xu,D,Successful Participant
Sun Yat-Sen University,33445,Guangzhou,Guangdong,China,Qinghui Zhang,A,Successful Participant
Shanghai Jiao Tong University,33446,shanghai,shanghai,China,xiaomin wang,A,Successful Participant
Shanghai University of Finanace and Economics,33447,Shanghai,Shanghai,China,Yaoyao Liu,A,Honorable Mention
Business School of the University of International Business and Economics,33448,Beijing,Beijing,China,Xin Wei,A,Successful Participant
Southern Medical University,33449,Guangzhou,Guangdong Province,China,Yingjun Liu,A,Successful Participant
"Heilongjiang University, China",33450,Harbin,Heilongjiang,China,Long Zhang,B,Successful Participant
University of International Business and Economics,33451,Beijing,Beijing,China,XUSEN CHENG,C,Successful Participant
Shanghai Jiao Tong University,33452,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
South University of Science and Technology of China,33453,Shenzhen,Guangdong,China,Jingzhi Li,A,Successful Participant
Shanghai Jiao Tong University,33454,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
Shanghai Jiao Tong University,33455,shanghai,shanghai,China,Qifen Jiang,A,Meritorious
Shanghai Jiao Tong University,33456,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
Shanghai Jiao Tong University,33457,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
Shanghai Jiao Tong University,33458,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
Shanghai University of Finance and Economics,33459,Shanghai,Shanghai,China,Chengdong Dong,D,Successful Participant
Tianjin Foreign Studies University,33460,Tianjin,Tianjin,China,Shengpeng Li,A,Honorable Mention
Tianjin Foreign Studies University,33461,Tianjin,Tianjin,China,Nvze Wu,A,Successful Participant
South China University of Technology,33462,Guangzhou,Guangdong,China,Han Huang,A,Honorable Mention
East China Normal University,33463,Shang Hai,Shang Hai,China,Yong Ming Liu,A,Successful Participant
University of International Business and Economics,33464,Beijing,,China,Guoxing Fang,D,Honorable Mention
SUN YAT-SEN UNIVERSITY,33465,Guangzhou,,China,Peixing Li,A,Successful Participant
Xiamen University,33466,Xiamen,Fujian,China,Chuanju Xu,A,Meritorious
University of International Business and Economics,33467,Beijing,,China,Yuan Liu,B,Successful Participant
Harbin Institute of Technology,33468,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33469,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33470,Weihai,Shandong,China,Xiaofang Li,A,Meritorious
Harbin Institute of Technology,33471,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33472,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33473,Weihai,Shandong,China,Rongning Qu,B,Successful Participant
Harbin Institute of Technology,33474,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33475,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33476,Weihai,Shandong,China,Xiaofang Li,A,Meritorious
Harbin Institute of Technology,33477,Weihai,Shandong,China,Rongning Qu,B,Successful Participant
Harbin Institute of Technology,33478,Weihai,Shandong,China,Xiaofang Li,A,Honorable Mention
Harbin Institute of Technology,33479,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33480,Weihai,Shandong,China,Xiaofang Li,A,Honorable Mention
Harbin Institute of Technology,33481,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33482,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33483,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33485,Weihai,Shandong,China,Rongning Qu,D,Successful Participant
Harbin Institute of Technology,33486,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33487,Weihai,Shandong,China,Rongning Qu,D,Honorable Mention
Harbin Institute of Technology,33488,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33489,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33490,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33491,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33492,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33493,Weihai,Shandong,China,Rongning Qu,B,Successful Participant
Harbin Institute of Technology,33494,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33495,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33496,Weihai,Shandong,China,Xiaofang Li,A,Honorable Mention
Harbin Institute of Technology,33497,Weihai,Shandong,China,Rongning Qu,D,Honorable Mention
Harbin Institute of Technology,33498,Weihai,Shandong,China,Xiaofang Li,C,Successful Participant
Harbin Institute of Technology,33499,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33500,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33501,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33502,Weihai,Shandong,China,Xiaofang Li,B,Honorable Mention
Harbin Institute of Technology,33503,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33504,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33505,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33506,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33507,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33508,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33509,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33510,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33511,Weihai,Shandong,China,Rongning Qu,B,Honorable Mention
Harbin Institute of Technology,33512,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33513,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33514,Weihai,Shandong,China,Xiaofang Li,B,Honorable Mention
Harbin Institute of Technology,33515,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33516,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33517,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33518,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33519,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Harbin Institute of Technology,33520,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33521,Weihai,Shandong,China,Rongning Qu,B,Meritorious
Harbin Institute of Technology,33522,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33523,Weihai,Shandong,China,Rongning Qu,B,Successful Participant
Harbin Institute of Technology,33524,Weihai,Shandong,China,Xiaofang Li,D,Honorable Mention
Harbin Institute of Technology,33525,Weihai,Shandong,China,Rongning Qu,D,Meritorious
Harbin Institute of Technology,33526,Weihai,Shandong,China,Xiaofang Li,A,Meritorious
Nanjing University of Information Science & Technology,33527,Nanjing,Jiangsu,China,Hua Zhang,B,Successful Participant
Harbin Institute of Technology,33528,Weihai,Shandong,China,Rongning Qu,A,Honorable Mention
Central China Normal University,33530,Wuhan,HUBEI,China,Guoxin Zuo,A,Successful Participant
Harbin Institute of Technology,33531,Weihai,Shandong,China,Rongning Qu,B,Meritorious
Harbin Institute of Technology,33532,Weihai,Shandong,China,Xiaofang Li,A,Honorable Mention
Harbin Institute of Technology,33533,Weihai,Shandong,China,Rongning Qu,D,Honorable Mention
University of Science and Technology of China,33534,Hefei,Anhui,China,Lianzu Jiao,D,Honorable Mention
Harbin Institute of Technology,33535,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33536,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33537,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Harbin Institute of Technology,33538,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
Harbin Institute of Technology,33539,Weihai,Shandong,China,Xiaofang Li,B,Successful Participant
Harbin Institute of Technology,33540,Weihai,Shandong,China,Rongning Qu,A,Successful Participant
University of International Business and Economics,33541,Beijing,Beijing,China,ke zhou,A,Successful Participant
Harbin Institute of Technology,33542,Weihai,Shandong,China,Xiaofang Li,A,Successful Participant
Central China Normal University,33543,Wuhan,HUBEI,China,Guoxin Zuo,B,Successful Participant
Beijing Institute of Technology,33544,Beijing,,China,Hai Jin,B,Successful Participant
Sun Yat-Sen University,33545,Guangzhou,Guangdong,China,Jingheng Cai,D,Successful Participant
Zhejiang University,33546,hangzhou,zhejiang,China,Guofen Zhang,B,Honorable Mention
Xiamen University,33547,Xiamen,Fujian,China,Jianguo Zhang,A,Successful Participant
Fudan University,33548,Shanghai,,China,Yuan Cao,A,Successful Participant
Dalian Maritime University,33549,Dalian,Liaoning,China,Yunjie Zhang,B,Successful Participant
Southeast University,33550,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Honorable Mention
Southeast University,33551,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Honorable Mention
Tsinghua University,33552,Beijing,China,China,Zhongjie Fan,A,Successful Participant
Southeast University,33553,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Finalist
Southeast University,33554,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Meritorious
BeiJing University Of Post And Telecommunication,33555,Beijing,,China,Weiming Li,B,Successful Participant
Southeast University,33556,Nanjing,Jiangsuprovince,China,Xingang Jia,C,Honorable Mention
Southeast University,33557,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Successful Participant
Southeast University,33558,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Honorable Mention
Southeast University,33559,Nanjing,Jiangsuprovince,China,Xingang Jia,C,Honorable Mention
Southeast University,33560,Nanjing,Jiangsuprovince,China,Xingang Jia,C,Successful Participant
Southeast University,33561,Nanjing,Jiangsuprovince,China,Xingang Jia,D,Honorable Mention
Heilongjiang Institute of Technology,33562,"Harbin,Heilongjiang Province,China",Heilongjiang,China,KEWEI ZHANG,A,Successful Participant
University of International Business and Economics,33563,Beijing,,China,Yingxue Zhao,D,Honorable Mention
University of International Business and Economics,33564,Beijing,,China,Wenyi Chai,D,Successful Participant
Shenyang Aerospace University,33565,Shenyang,Liaoning,China,Shiyun Wang,B,Successful Participant
Shandong University,33566,Jinan,Shandong,China,Pengwei WANG,A,Successful Participant
Nanjing University of Information Science & Technology,33567,Nanjing,Jiangsu,China,Hua Zhang,A,Successful Participant
Beihang Univeristy,33568,Beijing,Beijing,China,Wei Feng,B,Successful Participant
China Pharmaceutical University,33569,Nanjing City,Jiangsu,China,Fangrong Yan,D,Successful Participant
Southwestern University Of Finance And Economics,33570,Chengdu,Sichuan,China,Jie Ma,A,Honorable Mention
BeiJing University Of Post And Telecommunication,33571,Beijing,Beijing,China,Mei Song,A,Meritorious
XIDIAN UNIVERSITY,33572,Xi'an,Shaanxi,China,Banghe Han,C,Outstanding Winner
XIDIAN UNIVERSITY,33573,Xi'an,Shaanxi,China,Banghe Han,C,Honorable Mention
Central University of Finance and Ecomomics,33574,Beijing,,China,Mu Lin,A,Meritorious
Central University of Finance and Ecomomics,33575,Beijing,,China,Xiaoming Fan,C,Successful Participant
Beijing Normal University,33576,Beijing,Beijing,China,Yingzhe Wang,A,Honorable Mention
Central University of Finance and Ecomomics,33577,Beijing,,China,Xiaoming Fan,A,Honorable Mention
University of International Business and Economics,33578,Beijing,Beijing,China,YINGXUE ZHAO,A,Successful Participant
Sichuan University,33579,Chengdu,Sichuan,China,Hao Wang,A,Honorable Mention
Southwest Jiaotong University,33580,Chengdu,Sichuan,China,Ye Jianjun,B,Successful Participant
Beijing University of Aeronautics and Astronautics,33581,Beijing,Beijing,China,Duokui Yan,A,Successful Participant
East China University of Science and Technology,33582,Shanghai,Shanghai,China,Xiwen Lu,C,Honorable Mention
Shanghai University of Finance and Economics,33583,Shanghai,,China,Xiangtian Dong,B,Successful Participant
Shanghai Jiaotong University,33584,shanghai,shanghai,China,Xiaojuan Cai,D,Successful Participant
Shanghai Jiao Tong University,33585,shanghai,shanghai,China,Qifen Jiang,C,Honorable Mention
Renmin University of China,33586,Beijing,Beijing,China,Hong Yin,A,Honorable Mention
University of Science and Technology of China,33587,HEFEI,ANHUI,China,Hou Bo,A,Honorable Mention
Donghua University,33588,Shanghai,,China,Jie Qi,A,Successful Participant
East China Normal University,33589,Shanghai,Shanghai,China,Yingchun Zhou,A,Successful Participant
University of International Business and Economics,33590,Beijing,Beijing,China,Lizhuo Zhang,B,Successful Participant
Sun Yat-Sen University,33591,Guangzhou,Guangdong,China,Zhihong Luo,A,Honorable Mention
Minzu University of China,33592,Beijing,Beijing,China,Chuanhua Wei,A,Honorable Mention
South China Normal University,33593,"Guangzhou, Guangdong, China",,China,Minglan Wang,A,Honorable Mention
Wuhan University,33594,Wuhan,Hubei,China,HUI Qiao,B,Meritorious
University of Science and Technology of China,33595,HeFei,AnHui,China,Lianzu Jiao,A,Honorable Mention
University Of International Business and Economics,33596,Beijing,Beijing,China,Jie Mao,A,Successful Participant
Renmin University,33598,Beijing,Beijing,China,Hao Jiang,D,Honorable Mention
Sun Yat-Sen University,33599,Guangzhou,Guangdong,China,Guocan Feng,A,Honorable Mention
Sun Yat-Sen University,33600,Guangzhou,Guangdong,China,Zhujun Fan,A,Meritorious
Beijing Institute of Technology,33601,Beijing,Beijing,China,Huafei Sun,A,Successful Participant
Shenyang University,33602,ShenYang,LiaoNing,China,Xiaoning Yue,A,Successful Participant
BeiJing University Of Post And Telecommunication,33603,Beijing,Beijing,China,Zuguo He,C,Honorable Mention
Southwest Jiaotong University,33604,Chengdu,Sichuan,China,Jian Yuan,A,Successful Participant
Tongji University,33605,Shanghai,Shanghai,China,Yan Wu,A,Successful Participant
South University of Science and Technology of China,33606,Shenzhen,Guangdong,China,Jingzhi Li,A,Successful Participant
Shanghai Jiao Tong University,33607,shanghai,shanghai,China,Qifen Jiang,A,Honorable Mention
Nankai University,33608,"Nankai, Tianjin",Tianjin,China,Zeguang Li,B,Honorable Mention
Central University of Finance and Ecomomics,33609,Beijing,,China,Xiaoming Fan,A,Honorable Mention
Central University of Finance and Ecomomics,33610,Beijing,,China,Xiaoming Fan,D,Honorable Mention
University of International Business and Economics,33611,Beijing,China,China,xiting zhang,A,Successful Participant
Shanghai Jiao Tong University,33612,shanghai,shanghai,China,Qifen Jiang,A,Successful Participant
Beihang Univeristy,33613,Beijing,Beijing,China,Shengming Ma,B,Successful Participant
Shanghai Jiao Tong University,33614,shanghai,shanghai,China,Qifen Jiang,A,Meritorious
Central University of Finance and Ecomomics,33615,Beijing,,China,Xiaoming Fan,A,Honorable Mention
Shanghai Jiao Tong University,33616,shanghai,shanghai,China,Qifen Jiang,A,Honorable Mention
South China Normal University,33617,Guangzhou,Guangdong,China,baoquan ai,A,Successful Participant
Beijing Institute of Technology,33618,Beijing,Beijing,China,Huafei Sun,A,Successful Participant
Shanghai Jiao Tong University,33619,shanghai,shanghai,China,Qifen Jiang,C,Honorable Mention
Southwest Jiaotong University,33620,Chengdu,Sichuan,China,Lianwen Zhao,A,Successful Participant
Beijing University of Technology,33621,Beijing,,China,XinYuan Zhao,B,Honorable Mention
Central University of Finance and Ecomomics,33622,Beijing,,China,Mu Lin,D,Honorable Mention
Shanghai Jiao Tong University,33623,shanghai,shanghai,China,xiaomin wang,B,Meritorious
South China Normal University,33624,Guangzhou,Guangdong,China,Hunan Li,A,Successful Participant
Central University of Finance and Ecomomics,33625,Beijing,,China,Mu Lin,C,Meritorious
Columbia University,33626,New York,NY,USA,Ivan Corwin,B,Successful Participant
South China Normal University,33627,Guangzhou,Guangdong,China,Shaohui Zhang,D,Successful Participant
Central University of Finance and Ecomomics,33628,Beijing,,China,Chengzhang Wang,B,Successful Participant
University of International Business and Economics,33629,Beijing,,China,Ke Zhou,A,Successful Participant
Shanghai University of Finance and Economics,33630,Shanghai,Shanghai,China,Jianyu Liu,A,Successful Participant
TianJin university,33631,TianJin,TianJin,China,Xin Guan,A,Successful Participant
Central University of Finance and Ecomomics,33632,Beijing,,China,Xiaoming Fan,A,Successful Participant
Beijing Normal University,33633,Beijing,,China,YINGZHE WANG,A,Successful Participant
Shanghai Jiao Tong University,33634,shanghai,shanghai,China,Qifen Jiang,A,Honorable Mention
Beijing Normal University,33635,Beijing,,China,li cui,C,Successful Participant
Central University of Finance and Ecomomics,33636,Beijing,,China,Mu Lin,A,Meritorious
Central University of Finance and Ecomomics,33637,Beijing,,China,Mu Lin,D,Meritorious
University of International Business and Economics,33638,Beijing,Beijing,China,ChongYan Gao,C,Honorable Mention
Central University of Finance and Ecomomics,33639,Beijing,,China,Xiaoming Fan,A,Honorable Mention
Zhejiang University,33640,Hangzhou,Zhejiang,China,Chunyue Song,A,Successful Participant
Central University of Finance and Ecomomics,33641,Beijing,,China,Xiaoming Fan,A,Honorable Mention
Hainan University,33642,Haikou,Hainan,China,Yong He,D,Successful Participant
University Of Science and Technology Beijing,33643,Beijing,Beijing,China,Yajiang Hao,A,Successful Participant
Minzu University of China,33644,Beijing,Beijing,China,Shuqin Liu,A,Successful Participant
Zhejiang University,33645,Hangzhou,Zhejiang,China,Deqiang Gan,B,Successful Participant
BeiJing University Of Post And Telecommunication,33646,Beijing,Beijing,China,Zhuo Zhang,A,Honorable Mention
East China Normal University,33647,Shanghai,,China,FengFei GONG,A,Honorable Mention
Southeast University,33648,Nanjing,Jiangsu,China,Qingshan Xu,A,Successful Participant
Fudan University,33649,Shanghai,Shanghai,China,Huiliang Shang,A,Meritorious
Renmin University of China,33650,Beijing,Beijing,China,Xiaobao Zhu,A,Meritorious
XIDIAN UNIVERSITY,33651,Xi'an,Shaanxi,China,Shuisheng Zhou,C,Honorable Mention
XIDIAN UNIVERSITY,33652,Xi'an,Shaanxi,China,Shuisheng Zhou,C,Honorable Mention
XIDIAN UNIVERSITY,33653,Xi'an,Shaanxi,China,Jimin Ye,C,Honorable Mention
XIDIAN UNIVERSITY,33654,Xi'an,Shaanxi,China,Jimin Ye,D,Meritorious
XIDIAN UNIVERSITY,33655,Xi'an,Shaanxi,China,Qiang Zhu,C,Honorable Mention
XIDIAN UNIVERSITY,33656,Xi'an,Shaanxi,China,Qiang Zhu,C,Successful Participant
Huazhong Agricultural University,33657,Wuhan,Hubei,China,Jinying Tan,A,Honorable Mention
XIDIAN UNIVERSITY,33658,Xi'an,Shaanxi,China,Xuewen Mu,C,Successful Participant
XIDIAN UNIVERSITY,33659,Xi'an,Shaanxi,China,Xuewen Mu,C,Honorable Mention
Huazhong Agricultural University,33660,Wuhan,Hubei,China,Hong Fang,B,Meritorious
XIDIAN UNIVERSITY,33661,Xi'an,Shaanxi,China,Yue Song,A,Honorable Mention
XIDIAN UNIVERSITY,33662,Xi'an,Shaanxi,China,Yue Song,C,Successful Participant
XIDIAN UNIVERSITY,33663,Xi'an,Shaanxi,China,Hailin Feng,D,Honorable Mention
XIDIAN UNIVERSITY,33664,Xi'an,Shaanxi,China,Hailin Feng,C,Honorable Mention
Sichuan Agricultural University,33665,Ya'an,Sichuan,China,Shiping Du,B,Successful Participant
XIDIAN UNIVERSITY,33666,Xi'an,Shaanxi,China,Feng Ye,C,Honorable Mention
XIDIAN UNIVERSITY,33667,Xi'an,Shaanxi,China,Feng Ye,C,Meritorious
XIDIAN UNIVERSITY,33668,Xi'an,Shaanxi,China,Zhenguo Bai,D,Successful Participant
XIDIAN UNIVERSITY,33669,Xi'an,Shaanxi,China,Zhenguo Bai,D,Honorable Mention
University of International Business and Economics,33670,Beijing,Beijing,China,Ke Zhou,B,Successful Participant
XIDIAN UNIVERSITY,33671,Xi'an,Shaanxi,China,Shengli Zhang,D,Meritorious
Shandong University,33672,Jinan,Shandong,China,Feifan Yuan,C,Honorable Mention
XIDIAN UNIVERSITY,33673,Xi'an,Shaanxi,China,Shengli Zhang,B,Finalist
XIDIAN UNIVERSITY,33674,Xi'an,Shaanxi,China,Mingmin Zhu,C,Honorable Mention
XIDIAN UNIVERSITY,33675,Xi'an,Shaanxi,China,Mingmin Zhu,C,Honorable Mention
Beijing Institute of Technology,33676,Beijing,Beijing,China,Guifeng Yan,A,Successful Participant
Beijing Institute of Technology,33677,Beijing,,China,Hai Jin,B,Meritorious
XIDIAN UNIVERSITY,33678,Xi'an,Shaanxi,China,Yuqian Yang,D,Honorable Mention
XIDIAN UNIVERSITY,33679,Xi'an,Shaanxi,China,Yuqian Yang,D,Meritorious
"School of Mathematical Sciences, Beijing Normal University",33680,Beijing,Beijing,China,Yingzhe Wang,D,Meritorious
XIDIAN UNIVERSITY,33681,Xi'an,Shaanxi,China,Qingsong Zou,D,Meritorious
Zhongnan University of Economics and Law,33682,Wuhan,Hubei,China,Haiyan Fu,D,Honorable Mention
XIDIAN UNIVERSITY,33683,Xi'an,Shaanxi,China,Qingsong Zou,D,Honorable Mention
XIDIAN UNIVERSITY,33684,Xi'an,Shaanxi,China,Benchong Li,D,Meritorious
XIDIAN UNIVERSITY,33685,Xi'an,Shaanxi,China,Benchong Li,A,Honorable Mention
XIDIAN UNIVERSITY,33686,Xi'an,Shaanxi,China,Wantao Ning,C,Honorable Mention
XIDIAN UNIVERSITY,33687,Xi'an,Shaanxi,China,Wantao Ning,C,Honorable Mention
XIDIAN UNIVERSITY,33688,Xi'an,Shaanxi,China,Liang Wang,D,Meritorious
XIDIAN UNIVERSITY,33689,Xi'an,Shaanxi,China,Liang Wang,D,Meritorious
South China Normal Univercity,33690,Guangzhou,China,China,Lianzu Jiao,C,Honorable Mention
Shenyang Jianzhu university,33691,Shenyang,Liaoning,China,Shuangyun Xing,A,Honorable Mention
Shenyang Jianzhu university,33692,Shenyang,Liaoning,China,Shuangyun Xing,A,Successful Participant
Dalian University of Technology,33693,Dalian,,China,Qiuhui Pan,A,Honorable Mention
Shenyang Jianzhu university,33694,Shenyang,Liaoning,China,Shuangyun Xing,A,Honorable Mention
Dalian University of Technology,33695,Dalian,,China,Qiuhui Pan,A,Successful Participant
Dalian University of Technology,33696,Dalian,,China,Qiuhui Pan,C,Honorable Mention
Dalian University of Technology,33697,Dalian,,China,Qiuhui Pan,D,Successful Participant
Dalian University of Technology,33698,Dalian,,China,Qiuhui Pan,A,Successful Participant
Dalian University of Technology,33699,Dalian,,China,Qiuhui Pan,C,Successful Participant
Dalian University of Technology,33700,Dalian,Liaoning,China,Qiuhui Pan,D,Honorable Mention
Dalian University of Technology,33701,Dalian,Liaoning,China,Qiuhui Pan,C,Honorable Mention
Dalian University of Technology,33702,Dalian,Liaoning,China,Qiuhui Pan,D,Successful Participant
Dalian University of Technology,33703,Dalian,Liaoning,China,Qiuhui Pan,A,Honorable Mention
Central University of Finance and Ecomomics,33704,Beijng,,China,Xiaoming Fan,A,Successful Participant
Central University of Finance and Ecomomics,33705,Beijing,,China,Mu Lin,A,Successful Participant
Central University of Finance and Ecomomics,33706,Beijing,,China,Zixiong Peng,D,Honorable Mention
Southwest Jiaotong University,33707,Chengdu,Sichuan,China,Wei Pu,A,Successful Participant
BeiJing University Of Post And Telecommunication,33708,Beijing,Beijing,China,Xiaohang Zhang,A,Meritorious
